"Tabela 1849 - Dados gerais das unidades locais industriais de empresas industriais com 5 ou mais pessoas ocupadas, por Unidade da Federação, segundo as divisões de atividades (CNAE 2.0)"
"Variável - Número de unidades locais"
"Nível","Cód.","Unidade da Federação","Ano","Classificação Nacional de Atividades Econômicas (CNAE 2.0)",""
"UF","11","Rondônia","2023","29 Fabricação de veículos automotores, reboques e carrocerias","28","Unidades"
"UF","12","Acre","2007","Total","190","Unidades"
"UF","12","Acre","2007","B Indústrias extrativas","4","Unidades"
"UF","12","Acre","2007","C Indústrias de transformação","186","Unidades"
"UF","12","Acre","2007","10 Fabricação de produtos alimentícios","43","Unidades"
"UF","12","Acre","2007","20 Fabricação de produtos químicos","4","Unidades"
"UF","12","Acre","2007","24 Metalurgia","-","Unidades"
"UF","12","Acre","2007","29 Fabricação de veículos automotores, reboques e carrocerias","3","Unidades"
"UF","12","Acre","2008","Total","213","Unidades"
"UF","12","Acre","2008","B Indústrias extrativas","6","Unidades"
"UF","12","Acre","2008","C Indústrias de transformação","207","Unidades"
"UF","12","Acre","2008","10 Fabricação de produtos alimentícios","54","Unidades"
"UF","12","Acre","2008","20 Fabricação de produtos químicos","3","Unidades"
"UF","12","Acre","2008","24 Metalurgia","-","Unidades"
"UF","12","Acre","2008","29 Fabricação de veículos automotores, reboques e carrocerias","4","Unidades"
"UF","12","Acre","2009","Total","231","Unidades"
"UF","12","Acre","2009","B Indústrias extrativas","6","Unidades"
"UF","12","Acre","2009","C Indústrias de transformação","225","Unidades"
"UF","12","Acre","2009","10 Fabricação de produtos alimentícios","55","Unidades"
"UF","12","Acre","2009","20 Fabricação de produtos químicos","6","Unidades"
"UF","12","Acre","2009","24 Metalurgia","1","Unidades"
"UF","12","Acre","2009","29 Fabricação de veículos automotores, reboques e carrocerias","5","Unidades"
"UF","12","Acre","2010","Total","228","Unidades"
"UF","12","Acre","2010","B Indústrias extrativas","5","Unidades"
"UF","12","Acre","2010","C Indústrias de transformação","223","Unidades"
"UF","12","Acre","2010","10 Fabricação de produtos alimentícios","49","Unidades"
"UF","12","Acre","2010","20 Fabricação de produtos químicos","6","Unidades"
"UF","12","Acre","2010","24 Metalurgia","1","Unidades"
"UF","12","Acre","2010","29 Fabricação de veículos automotores, reboques e carrocerias","5","Unidades"
"UF","12","Acre","2011","Total","275","Unidades"
"UF","12","Acre","2011","B Indústrias extrativas","7","Unidades"
"UF","12","Acre","2011","C Indústrias de transformação","268","Unidades"
"UF","12","Acre","2011","10 Fabricação de produtos alimentícios","80","Unidades"
"UF","12","Acre","2011","20 Fabricação de produtos químicos","5","Unidades"
"UF","12","Acre","2011","24 Metalurgia","1","Unidades"
"UF","12","Acre","2011","29 Fabricação de veículos automotores, reboques e carrocerias","6","Unidades"
"UF","12","Acre","2012","Total","242","Unidades"
"UF","12","Acre","2012","B Indústrias extrativas","2","Unidades"
"UF","12","Acre","2012","C Indústrias de transformação","240","Unidades"
"UF","12","Acre","2012","10 Fabricação de produtos alimentícios","70","Unidades"
"UF","12","Acre","2012","20 Fabricação de produtos químicos","3","Unidades"
"UF","12","Acre","2012","24 Metalurgia","1","Unidades"
"UF","12","Acre","2012","29 Fabricação de veículos automotores, reboques e carrocerias","4","Unidades"
"UF","12","Acre","2013","Total","271","Unidades"
"UF","12","Acre","2013","B Indústrias extrativas","3","Unidades"
"UF","12","Acre","2013","C Indústrias de transformação","268","Unidades"
