UF,Cód_IBGE,Ano,Setor,Valor,Variável
Acre,12,2017,C Indústrias de transformação,257.0,Número de unidades locais
Acre,12,2017,10 Fabricação de produtos alimentícios,85.0,Número de unidades locais
Acre,12,2017,20 Fabricação de produtos químicos,4.0,Número de unidades locais
Acre,12,2017,24 Metalurgia,1.0,Número de unidades locais
Acre,12,2017,"29 Fabricação de veículos automotores, reboques e carrocerias",10.0,Número de unidades locais
Acre,12,2018,Total,240.0,Número de unidades locais
Acre,12,2018,B Indústrias extrativas,7.0,Número de unidades locais
Acre,12,2018,C Indústrias de transformação,233.0,Número de unidades locais
Acre,12,2018,10 Fabricação de produtos alimentícios,80.0,Número de unidades locais
Acre,12,2018,20 Fabricação de produtos químicos,5.0,Número de unidades locais
Acre,12,2018,24 Metalurgia,,Número de unidades locais
Acre,12,2018,"29 Fabricação de veículos automotores, reboques e carrocerias",6.0,Número de unidades locais
Acre,12,2019,Total,259.0,Número de unidades locais
Acre,12,2019,B Indústrias extrativas,7.0,Número de unidades locais
Acre,12,2019,C Indústrias de transformação,252.0,Número de unidades locais
Acre,12,2019,10 Fabricação de produtos alimentícios,96.0,Número de unidades locais
Acre,12,2019,20 Fabricação de produtos químicos,5.0,Número de unidades locais
Acre,12,2019,24 Metalurgia,,Número de unidades locais
Acre,12,2019,"29 Fabricação de veículos automotores, reboques e carrocerias",7.0,Número de unidades locais
Acre,12,2020,Total,225.0,Número de unidades locais
Acre,12,2020,B Indústrias extrativas,3.0,Número de unidades locais
Acre,12,2020,C Indústrias de transformação,222.0,Número de unidades locais
Acre,12,2020,10 Fabricação de produtos alimentícios,96.0,Número de unidades locais
Acre,12,2020,20 Fabricação de produtos químicos,3.0,Número de unidades locais
Acre,12,2020,24 Metalurgia,,Número de unidades locais
Acre,12,2020,"29 Fabricação de veículos automotores, reboques e carrocerias",10.0,Número de unidades locais
Acre,12,2021,Total,250.0,Número de unidades locais
Acre,12,2021,B Indústrias extrativas,3.0,Número de unidades locais
Acre,12,2021,C Indústrias de transformação,247.0,Número de unidades locais
Acre,12,2021,10 Fabricação de produtos alimentícios,96.0,Número de unidades locais
Acre,12,2021,20 Fabricação de produtos químicos,5.0,Número de unidades locais
Acre,12,2021,24 Metalurgia,,Número de unidades locais
Acre,12,2021,"29 Fabricação de veículos automotores, reboques e carrocerias",10.0,Número de unidades locais
Acre,12,2022,Total,251.0,Número de unidades locais
Acre,12,2022,B Indústrias extrativas,3.0,Número de unidades locais
Acre,12,2022,C Indústrias de transformação,248.0,Número de unidades locais
Acre,12,2022,10 Fabricação de produtos alimentícios,106.0,Número de unidades locais
Acre,12,2022,20 Fabricação de produtos químicos,7.0,Número de unidades locais
Acre,12,2022,24 Metalurgia,,Número de unidades locais
Acre,12,2022,"29 Fabricação de veículos automotores, reboques e carrocerias",9.0,Número de unidades locais
Acre,12,2023,Total,259.0,Número de unidades locais
Acre,12,2023,B Indústrias extrativas,7.0,Número de unidades locais
Acre,12,2023,C Indústrias de transformação,252.0,Número de unidades locais
Acre,12,2023,10 Fabricação de produtos alimentícios,114.0,Número de unidades locais
Acre,12,2023,20 Fabricação de produtos químicos,5.0,Número de unidades locais
Acre,12,2023,24 Metalurgia,,Número de unidades locais
Acre,12,2023,"29 Fabricação de veículos automotores, reboques e carrocerias",5.0,Número de unidades locais
Amazonas,13,2007,Total,1016.0,Número de unidades locais
Amazonas,13,2007,B Indústrias extrativas,15.0,Número de unidades locais
Amazonas,13,2007,C Indústrias de transformação,1001.0,Número de unidades locais
Amazonas,13,2007,10 Fabricação de produtos alimentícios,168.0,Número de unidades locais
Amazonas,13,2007,20 Fabricação de produtos químicos,34.0,Número de unidades locais
Amazonas,13,2007,24 Metalurgia,16.0,Número de unidades locais
Amazonas,13,2007,"29 Fabricação de veículos automotores, reboques e carrocerias",18.0,Número de unidades locais
Amazonas,13,2008,Total,1080.0,Número de unidades locais
Amazonas,13,2008,B Indústrias extrativas,16.0,Número de unidades locais
Amazonas,13,2008,C Indústrias de transformação,1064.0,Número de unidades locais
Amazonas,13,2008,10 Fabricação de produtos alimentícios,198.0,Número de unidades locais
Amazonas,13,2008,20 Fabricação de produtos químicos,36.0,Número de unidades locais
Amazonas,13,2008,24 Metalurgia,14.0,Número de unidades locais
Amazonas,13,2008,"29 Fabricação de veículos automotores, reboques e carrocerias",18.0,Número de unidades locais
Amazonas,13,2009,Total,1063.0,Número de unidades locais
Amazonas,13,2009,B Indústrias extrativas,11.0,Número de unidades locais
Amazonas,13,2009,C Indústrias de transformação,1052.0,Número de unidades locais
Amazonas,13,2009,10 Fabricação de produtos alimentícios,197.0,Número de unidades locais
Amazonas,13,2009,20 Fabricação de produtos químicos,43.0,Número de unidades locais
Amazonas,13,2009,24 Metalurgia,19.0,Número de unidades locais
Amazonas,13,2009,"29 Fabricação de veículos automotores, reboques e carrocerias",19.0,Número de unidades locais
Amazonas,13,2010,Total,1121.0,Número de unidades locais
Amazonas,13,2010,B Indústrias extrativas,16.0,Número de unidades locais
Amazonas,13,2010,C Indústrias de transformação,1105.0,Número de unidades locais
Amazonas,13,2010,10 Fabricação de produtos alimentícios,173.0,Número de unidades locais
Amazonas,13,2010,20 Fabricação de produtos químicos,40.0,Número de unidades locais
Amazonas,13,2010,24 Metalurgia,17.0,Número de unidades locais
Amazonas,13,2010,"29 Fabricação de veículos automotores, reboques e carrocerias",24.0,Número de unidades locais
Amazonas,13,2011,Total,1181.0,Número de unidades locais
Amazonas,13,2011,B Indústrias extrativas,20.0,Número de unidades locais
Amazonas,13,2011,C Indústrias de transformação,1161.0,Número de unidades locais
Amazonas,13,2011,10 Fabricação de produtos alimentícios,206.0,Número de unidades locais
